sequence,meridian,range,township,sheet,status,rows,index_files,index_multi_name_pct,even_quarters_with_file_pct,pages,settlement_era_proxy,rail_arrival,cpr_belt,near_reserve,band,infill_zone,lon,lat,note
156,W3,1,19,R01,names-only,144,66,30.0,88.0,12,pre-1890,1908.0,CPR belt,False,T13-24,A,-106.0738,50.6157,
157,W3,1,22,R01,names-only,144,88,47.0,88.0,12,1890s,1908.0,no CPR land,False,T13-24,A,-106.0738,50.8779,
158,W3,1,25,R01,empty,144,24,12.0,33.0,14,pre-1890,1889.0,no CPR land,False,T25-36,,-106.0741,51.1398,
159,W3,1,52,R01,empty,144,9,22.0,7.0,12,no proxy,,no CPR land,True,T49+ (forest fringe),C,-106.0777,53.4962,few homestead files — quick township
160,W3,1,55,R01,empty,144,0,,0.0,12,no proxy,,no CPR land,False,T49+ (forest fringe),C,-106.0786,53.7583,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
161,W3,4,1,R04,names-only,144,106,67.0,71.0,11,1911+,1931.0,no CPR land,False,T1-12 (south),A,-106.4742,49.0437,
162,W3,4,4,R04,names-only,144,71,37.0,49.0,12,1911+,1928.0,no CPR land,True,T1-12 (south),A,-106.4775,49.3058,
163,W3,4,7,R04,names-only,144,118,46.0,82.0,12,1901-05,1913.0,no CPR land,False,T1-12 (south),A,-106.4783,49.5671,
164,W3,4,10,R04,names-only,144,125,36.0,86.0,12,1901-05,1913.0,no CPR land,False,T1-12 (south),A,-106.4783,49.8292,
165,W3,4,13,R04,names-only,144,99,46.0,72.0,12,1906-10,1924.0,no CPR land,False,T13-24,A,-106.4826,50.0915,
166,W3,4,16,R04,names-only,144,110,60.0,78.0,12,pre-1890,1882.0,no CPR land,False,T13-24,A,-106.4859,50.3537,
167,W3,4,19,R04,names-only,144,119,55.0,83.0,12,pre-1890,1882.0,no CPR land,False,T13-24,A,-106.4894,50.6158,
168,W3,4,22,R04,names-only,144,65,26.0,90.0,12,1901-05,1908.0,no CPR land,False,T13-24,A,-106.4894,50.8777,
