station,province,lat,lon,coord_source,1911_n,1911_cap,1912_n,1912_cap,1913_n,1913_cap,1914_n,1914_cap,1915_n,1915_cap,1916_n,1916_cap,1917_n,1917_cap,1918_n,1918_cap,1919_n,1919_cap,1920_n,1920_cap,1921_n,1921_cap,1923_n,1923_cap,1924_n,1924_cap,1925_n,1925_cap,1926_n,1926_cap,1927_n,1927_cap,1928_n,1928_cap,1929_n,1929_cap,1930_n,1930_cap,1939_n,1939_cap,1940_n,1940_cap,1941_n,1941_cap,1943_n,1943_cap
Meeting Creek,ALBERTA,52.68194,-112.73167,cgn_direct,,,1,40000,1,40000,1,45000,1,45000,2,80000,1,35000,2,65000,2,65000,2,65000,2,65000,2,65000,2,65000,2,65000,3,100000,3,91000,3,91000,3,91000,3,91000,3,98000,3,98000,6,196000,3,98000
Meham,SASKATCHEWAN,51.29854,-102.44288,agent_medium,,,1,30000,1,30000,1,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mehan,SASKATCHEWAN,51.29854,-102.44288,cgn_direct,1,30000,,,,,,,1,30000,1,30000,1,,2,60000,2,60000,1,,1,,1,,1,,2,60000,2,60000,2,60000,2,60000,,,1,30000,1,30000,1,30000,2,60000,1,30000
Meharry,MANITOBA,51.21944,-100.8525,cgn_direct,,,,,,,,,,,,,,,,,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,2,60000,1,30000
Melaval,SASKATCHEWAN,49.69243,-106.44907,cgn_direct,,,,,2,65000,2,65000,2,60000,4,123000,4,123000,4,123000,4,123000,4,123000,4,123000,4,123000,4,123000,5,155000,5,155000,5,152000,5,152000,5,155000,5,155000,5,141000,5,137000,10,274000,5,137000
Melbourne,MANITOBA,49.87333,-99.18917,cgn_direct,1,25000,1,25000,1,25000,1,25000,1,25000,1,25000,1,25000,1,25000,1,25000,1,25000,1,25000,1,25000,1,25000,,,,,1,20000,1,20000,1,20000,1,5000,,,,,,,,
Melfort,SASKATCHEWAN,52.85634,-104.60997,cgn_direct,5,135000,5,135000,6,165000,4,110000,4,110000,4,115000,,,5,150000,,,5,150000,5,150000,5,202000,5,202000,5,202000,6,237000,5,212000,6,210000,1,25000,1,34000,1,28000,3,80000,4,116000,1,28000
Melfort Extension Mile 10-4,SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,,,,,,,,,,,,,,
Melfort Siding,SASKATCHEWAN,52.85634,-104.60997,agent_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,,,,,,,,,,,,,,,,
Melfort..... (See page 106),SASKATCHEWAN,52.85634,-104.60997,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28000,,,,
